label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
potted plant,237,143,25,70,000000000139.jpg,640,426
tv,7,168,149,95,000000000139.jpg,640,426
tv,557,209,81,79,000000000139.jpg,640,426
chair,359,218,56,103,000000000139.jpg,640,426
chair,291,218,62,98,000000000139.jpg,640,426
chair,413,223,30,81,000000000139.jpg,640,426
chair,317,219,22,12,000000000139.jpg,640,426
person,413,158,53,138,000000000139.jpg,640,426
person,384,172,15,36,000000000139.jpg,640,426
microwave,512,206,15,16,000000000139.jpg,640,426
refrigerator,493,174,20,108,000000000139.jpg,640,426
book,605,306,14,46,000000000139.jpg,640,426
book,613,308,13,46,000000000139.jpg,640,426
clock,448,121,14,22,000000000139.jpg,640,426
vase,549,309,37,90,000000000139.jpg,640,426
vase,351,209,11,23,000000000139.jpg,640,426
chair,412,219,10,13,000000000139.jpg,640,426
vase,241,195,14,18,000000000139.jpg,640,426
vase,337,200,10,17,000000000139.jpg,640,426
dining table,321,231,126,89,000000000139.jpg,640,426